Function: strcmp
Variant: default
                                    generic_strcmp	__strcmp_lsx	__strcmp_aligned
========================================================================================================================
     length=22, align1=22, align2=22:         1.12	        0.44 ( 60.71%)	        0.76 ( 32.14%)	
     length=22, align1=22, align2=22:         1.12	        0.44 ( 60.71%)	        0.76 ( 32.15%)	
     length=23, align1=23, align2=23:         1.04	        0.44 ( 57.68%)	        0.76 ( 26.93%)	
     length=23, align1=23, align2=23:         1.04	        0.44 ( 57.69%)	        0.76 ( 26.93%)	
     length=23, align1=23, align2=23:         1.04	        0.44 ( 57.68%)	        0.76 ( 26.92%)	
     length=24, align1=24, align2=24:         1.08	        0.60 ( 44.22%)	        0.76 ( 29.37%)	
     length=24, align1=24, align2=24:         0.90	        0.44 ( 51.11%)	        0.62 ( 31.12%)	
     length=24, align1=24, align2=24:         0.90	        0.44 ( 51.11%)	        0.62 ( 31.10%)	
     length=25, align1=25, align2=25:         1.72	        0.60 ( 65.12%)	        0.76 ( 55.82%)	
     length=25, align1=25, align2=25:         1.72	        0.60 ( 65.12%)	        0.76 ( 55.82%)	
     length=25, align1=25, align2=25:         1.72	        0.60 ( 65.11%)	        0.76 ( 55.81%)	
     length=26, align1=26, align2=26:         1.60	        0.60 ( 62.50%)	        0.76 ( 52.51%)	
     length=26, align1=26, align2=26:         1.60	        0.60 ( 62.50%)	        0.76 ( 52.50%)	
     length=26, align1=26, align2=26:         1.60	        0.62 ( 61.31%)	        0.76 ( 52.50%)	
     length=27, align1=27, align2=27:         1.48	        0.60 ( 59.46%)	        0.76 ( 48.65%)	
     length=27, align1=27, align2=27:         1.48	        0.60 ( 59.45%)	        0.76 ( 48.65%)	
     length=27, align1=27, align2=27:         1.48	        0.60 ( 59.46%)	        0.76 ( 48.65%)	
     length=28, align1=28, align2=28:         1.48	        0.60 ( 59.46%)	        0.84 ( 43.24%)	
     length=28, align1=28, align2=28:         1.36	        0.60 ( 55.88%)	        0.76 ( 44.11%)	
     length=28, align1=28, align2=28:         1.36	        0.60 ( 55.88%)	        0.76 ( 44.12%)	
     length=29, align1=29, align2=29:         1.32	        0.60 ( 54.54%)	        0.84 ( 36.36%)	
     length=29, align1=29, align2=29:         1.32	        0.60 ( 54.54%)	        0.89 ( 32.66%)	
     length=29, align1=29, align2=29:         1.32	        0.60 ( 54.54%)	        0.84 ( 36.36%)	
     length=30, align1=30, align2=30:         1.21	        0.60 ( 50.55%)	        0.84 ( 30.76%)	
     length=30, align1=30, align2=30:         1.21	        0.60 ( 50.55%)	        0.84 ( 30.77%)	
     length=30, align1=30, align2=30:         1.20	        0.60 ( 50.00%)	        0.84 ( 30.00%)	
     length=31, align1=31, align2=31:         1.13	        0.60 ( 46.91%)	        0.84 ( 25.66%)	
