Function: strchrnul
Variant: 
                                    generic_strchrnul	__strchrnul_lasx	__strchrnul_lsx	__strchrnul_aligned
========================================================================================================================
   length=512, pos=256, alignment=48:         4.44	        0.96 ( 78.38%)	        1.81 ( 59.17%)	        4.03 (  9.18%)	
   length=512, pos=256, alignment=64:         4.44	        0.96 ( 78.38%)	        1.75 ( 60.54%)	        4.03 (  9.14%)	
   length=512, pos=256, alignment=64:         4.44	        0.96 ( 78.38%)	        1.81 ( 59.16%)	        4.03 (  9.21%)	
   length=512, pos=256, alignment=80:         4.44	        0.96 ( 78.38%)	        1.81 ( 59.16%)	        4.03 (  9.21%)	
   length=512, pos=256, alignment=80:         4.44	        0.96 ( 78.36%)	        1.81 ( 59.17%)	        4.03 (  9.17%)	
   length=512, pos=256, alignment=96:         4.44	        0.96 ( 78.40%)	        1.68 ( 62.19%)	        4.02 (  9.56%)	
   length=512, pos=256, alignment=96:         4.45	        0.96 ( 78.41%)	        1.81 ( 59.29%)	        4.02 (  9.75%)	
  length=512, pos=256, alignment=112:         4.45	        0.96 ( 78.42%)	        1.81 ( 59.24%)	        4.02 (  9.64%)	
  length=512, pos=256, alignment=112:         4.46	        0.96 ( 78.43%)	        1.81 ( 59.30%)	        4.02 (  9.78%)	
        length=1, pos=0, alignment=0:         0.52	        0.36 ( 30.77%)	        0.32 ( 38.47%)	        0.40 ( 23.07%)	
        length=1, pos=0, alignment=0:         0.52	        0.36 ( 30.78%)	        0.32 ( 38.47%)	        0.41 ( 20.79%)	
        length=2, pos=1, alignment=0:         0.52	        0.36 ( 30.77%)	        0.32 ( 38.47%)	        0.40 ( 23.08%)	
        length=2, pos=1, alignment=0:         0.52	        0.36 ( 30.77%)	        0.32 ( 38.46%)	        0.40 ( 23.08%)	
        length=3, pos=2, alignment=0:         0.52	        0.36 ( 30.76%)	        0.32 ( 38.46%)	        0.40 ( 23.08%)	
        length=3, pos=2, alignment=0:         0.52	        0.36 ( 30.77%)	        0.32 ( 38.46%)	        0.40 ( 23.08%)	
        length=4, pos=3, alignment=0:         0.52	        0.36 ( 30.77%)	        0.32 ( 38.47%)	        0.40 ( 23.09%)	
        length=4, pos=3, alignment=0:         0.52	        0.36 ( 30.77%)	        0.32 ( 38.46%)	        0.40 ( 23.08%)	
        length=5, pos=4, alignment=0:         0.52	        0.36 ( 30.98%)	        0.32 ( 38.65%)	        0.41 ( 21.32%)	
        length=5, pos=4, alignment=0:         0.52	        0.36 ( 30.77%)	        0.32 ( 38.46%)	        0.40 ( 23.08%)	
        length=6, pos=5, alignment=0:         0.52	        0.36 ( 30.77%)	        0.32 ( 38.47%)	        0.40 ( 23.08%)	
        length=6, pos=5, alignment=0:         0.52	        0.36 ( 30.78%)	        0.32 ( 38.47%)	        0.40 ( 23.08%)	
        length=7, pos=6, alignment=0:         0.52	        0.36 ( 30.77%)	        0.32 ( 38.47%)	        0.40 ( 23.08%)	
        length=7, pos=6, alignment=0:         0.52	        0.36 ( 30.77%)	        0.32 ( 38.46%)	        0.40 ( 23.08%)	
        length=8, pos=7, alignment=0:         0.52	        0.36 ( 30.77%)	        0.32 ( 38.46%)	        0.40 ( 23.08%)	
        length=8, pos=7, alignment=0:         0.52	        0.36 ( 30.77%)	        0.32 ( 38.46%)	        0.40 ( 23.07%)	
        length=9, pos=8, alignment=0:         0.62	        0.36 ( 41.48%)	        0.32 ( 47.98%)	        0.51 ( 17.63%)	
        length=9, pos=8, alignment=0:         0.60	        0.36 ( 40.00%)	        0.32 ( 46.67%)	        0.51 ( 15.56%)	
       length=10, pos=9, alignment=0:         0.60	        0.36 ( 40.00%)	        0.32 ( 46.67%)	        0.51 ( 15.56%)	
       length=10, pos=9, alignment=0:         0.60	        0.36 ( 40.00%)	        0.32 ( 46.67%)	        0.51 ( 15.56%)	
      length=11, pos=10, alignment=0:         0.60	        0.36 ( 40.00%)	        0.32 ( 46.67%)	        0.51 ( 15.56%)	
      length=11, pos=10, alignment=0:         0.60	        0.36 ( 40.00%)	        0.32 ( 46.67%)	        0.51 ( 15.56%)	
      length=12, pos=11, alignment=0:         0.60	        0.37 ( 38.05%)	        0.32 ( 46.67%)	        0.51 ( 15.55%)	
      length=12, pos=11, alignment=0:         0.60	        0.36 ( 40.00%)	        0.32 ( 46.67%)	        0.51 ( 15.55%)	
      length=13, pos=12, alignment=0:         0.60	        0.36 ( 40.00%)	        0.32 ( 46.67%)	        0.51 ( 15.55%)	
      length=13, pos=12, alignment=0:         0.60	        0.36 ( 40.00%)	        0.32 ( 46.67%)	        0.51 ( 15.55%)	
      length=14, pos=13, alignment=0:         0.60	        0.36 ( 40.06%)	        0.32 ( 46.72%)	        0.51 ( 15.64%)	
      length=14, pos=13, alignment=0:         0.60	        0.36 ( 40.00%)	        0.32 ( 46.17%)	        0.51 ( 15.55%)	
      length=15, pos=14, alignment=0:         0.60	        0.36 ( 40.00%)	        0.32 ( 46.67%)	        0.52 ( 13.99%)	
