Function: strnlen
Variant: 
                                    generic_strnlen	__strnlen_lasx	__strnlen_lsx	__strnlen_aligned
========================================================================================================================
len=3, maxlen=4, max_char=127, align=3:         0.92	        0.44 ( 52.17%)	        0.40 ( 56.52%)	        0.44 ( 52.17%)	
len=4, maxlen=3, max_char=127, align=4:         0.92	        0.44 ( 52.18%)	        0.40 ( 56.51%)	        0.48 ( 47.82%)	
len=4, maxlen=4, max_char=127, align=4:         0.92	        0.44 ( 52.17%)	        0.40 ( 56.51%)	        0.48 ( 47.80%)	
len=4, maxlen=5, max_char=127, align=4:         1.12	        0.44 ( 60.71%)	        0.40 ( 64.29%)	        0.48 ( 57.13%)	
len=5, maxlen=4, max_char=127, align=5:         1.12	        0.44 ( 60.72%)	        0.40 ( 64.28%)	        0.48 ( 57.13%)	
len=5, maxlen=5, max_char=127, align=5:         1.15	        0.44 ( 61.69%)	        0.40 ( 65.18%)	        0.48 ( 58.21%)	
len=5, maxlen=6, max_char=127, align=5:         1.12	        0.44 ( 60.72%)	        0.40 ( 64.29%)	        0.48 ( 57.14%)	
len=6, maxlen=5, max_char=127, align=6:         1.12	        0.44 ( 60.72%)	        0.40 ( 64.28%)	        0.48 ( 57.13%)	
len=6, maxlen=6, max_char=127, align=6:         1.12	        0.44 ( 60.71%)	        0.40 ( 64.29%)	        0.48 ( 57.14%)	
len=6, maxlen=7, max_char=127, align=6:         1.12	        0.44 ( 60.71%)	        0.40 ( 64.29%)	        0.48 ( 57.14%)	
len=7, maxlen=6, max_char=127, align=7:         1.12	        0.44 ( 60.71%)	        0.40 ( 64.29%)	        0.48 ( 57.14%)	
len=7, maxlen=7, max_char=127, align=7:         1.12	        0.44 ( 60.71%)	        0.40 ( 64.28%)	        0.48 ( 57.14%)	
len=7, maxlen=8, max_char=127, align=7:         1.12	        0.44 ( 60.71%)	        0.40 ( 64.28%)	        0.48 ( 57.14%)	
len=4, maxlen=5000, max_char=127, align=0:         0.92	        0.44 ( 52.18%)	        0.40 ( 56.53%)	        0.44 ( 52.18%)	
len=4, maxlen=5000, max_char=127, align=1:         0.92	        0.44 ( 52.18%)	        0.40 ( 56.53%)	        0.44 ( 52.17%)	
len=5000, maxlen=4, max_char=127, align=0:         0.92	        0.44 ( 52.18%)	        0.40 ( 56.51%)	        0.48 ( 47.82%)	
len=5000, maxlen=4, max_char=127, align=1:         0.92	        0.44 ( 52.18%)	        0.40 ( 56.51%)	        0.48 ( 47.81%)	
len=8, maxlen=5000, max_char=127, align=0:         1.12	        0.44 ( 60.71%)	        0.40 ( 64.29%)	        0.48 ( 57.14%)	
len=8, maxlen=5000, max_char=127, align=1:         1.12	        0.44 ( 60.71%)	        0.40 ( 64.30%)	        0.48 ( 57.15%)	
len=5000, maxlen=8, max_char=127, align=0:         0.92	        0.44 ( 52.16%)	        0.40 ( 56.51%)	        0.48 ( 47.82%)	
len=5000, maxlen=8, max_char=127, align=1:         1.12	        0.44 ( 60.71%)	        0.40 ( 64.27%)	        0.48 ( 57.14%)	
len=16, maxlen=5000, max_char=127, align=0:         1.20	        0.44 ( 63.34%)	        0.40 ( 66.67%)	        0.64 ( 46.68%)	
len=16, maxlen=5000, max_char=127, align=1:         1.20	        0.44 ( 63.33%)	        0.40 ( 66.65%)	        0.64 ( 46.66%)	
len=5000, maxlen=16, max_char=127, align=0:         1.12	        0.44 ( 60.71%)	        0.40 ( 64.29%)	        0.48 ( 57.14%)	
len=5000, maxlen=16, max_char=127, align=1:         1.20	        0.44 ( 63.34%)	        0.40 ( 66.66%)	        0.64 ( 46.67%)	
len=32, maxlen=5000, max_char=127, align=0:         1.44	        0.44 ( 69.44%)	        0.48 ( 66.66%)	        0.80 ( 44.44%)	
len=32, maxlen=5000, max_char=127, align=1:         1.44	        0.44 ( 69.44%)	        0.48 ( 66.66%)	        0.80 ( 44.44%)	
len=5000, maxlen=32, max_char=127, align=0:         1.36	        0.44 ( 67.65%)	        0.40 ( 70.58%)	        0.68 ( 50.00%)	
len=5000, maxlen=32, max_char=127, align=1:         1.44	        0.44 ( 69.44%)	        0.44 ( 69.44%)	        0.80 ( 44.45%)	
len=64, maxlen=5000, max_char=127, align=0:         1.84	        0.56 ( 69.56%)	        0.60 ( 67.37%)	        1.12 ( 39.12%)	
len=64, maxlen=5000, max_char=127, align=1:         1.76	        0.56 ( 68.18%)	        0.56 ( 68.17%)	        1.12 ( 36.36%)	
len=5000, maxlen=64, max_char=127, align=0:         1.68	        0.44 ( 73.81%)	        0.44 ( 73.81%)	        1.03 ( 38.89%)	
len=5000, maxlen=64, max_char=127, align=1:         1.77	        0.52 ( 70.64%)	        0.52 ( 70.65%)	        1.12 ( 36.78%)	
len=128, maxlen=5000, max_char=127, align=0:         2.48	        0.64 ( 74.19%)	        0.76 ( 69.34%)	        1.82 ( 26.58%)	
len=128, maxlen=5000, max_char=127, align=1:         2.48	        0.64 ( 74.19%)	        0.76 ( 69.35%)	        1.78 ( 28.23%)	
len=5000, maxlen=128, max_char=127, align=0:         2.32	        0.52 ( 77.58%)	        0.68 ( 70.55%)	        1.70 ( 26.72%)	
len=5000, maxlen=128, max_char=127, align=1:         2.40	        1.44 ( 39.98%)	        0.76 ( 68.32%)	        1.88 ( 21.67%)	
len=256, maxlen=5000, max_char=127, align=0:         3.92	        1.82 ( 53.58%)	        1.08 ( 72.45%)	        3.12 ( 20.38%)	
len=256, maxlen=5000, max_char=127, align=1:         3.92	        1.82 ( 53.57%)	        1.08 ( 72.44%)	        3.10 ( 20.91%)	
len=5000, maxlen=256, max_char=127, align=0:         3.80	        0.84 ( 77.89%)	        1.24 ( 67.26%)	        3.10 ( 18.42%)	
len=5000, maxlen=256, max_char=127, align=1:         4.03	        0.96 ( 76.19%)	        1.08 ( 73.22%)	        3.16 ( 21.65%)	
len=512, maxlen=5000, max_char=127, align=0:         8.04	        1.16 ( 85.57%)	        1.72 ( 78.61%)	        5.93 ( 26.21%)	
len=512, maxlen=5000, max_char=127, align=1:         7.97	        1.09 ( 86.32%)	        1.72 ( 78.42%)	        5.81 ( 27.11%)	
