Function: strchr
Variant: 
                                    generic_strchr	__strchr_lasx	__strchr_lsx	__strchr_aligned
========================================================================================================================
   length=512, pos=256, alignment=48:         4.68	        1.13 ( 75.87%)	        2.33 ( 50.14%)	        4.09 ( 12.61%)	
   length=512, pos=256, alignment=48:         4.68	        1.13 ( 75.86%)	        2.33 ( 50.15%)	        4.09 ( 12.57%)	
   length=512, pos=256, alignment=64:         4.69	        1.12 ( 76.12%)	        2.33 ( 50.22%)	        4.09 ( 12.80%)	
   length=512, pos=256, alignment=64:         4.69	        1.12 ( 76.13%)	        2.33 ( 50.26%)	        4.09 ( 12.82%)	
   length=512, pos=256, alignment=80:         4.69	        1.12 ( 76.11%)	        2.33 ( 50.22%)	        4.09 ( 12.75%)	
   length=512, pos=256, alignment=80:         4.69	        1.12 ( 76.10%)	        2.33 ( 50.21%)	        4.09 ( 12.68%)	
   length=512, pos=256, alignment=96:         4.70	        1.12 ( 76.15%)	        2.33 ( 50.29%)	        4.09 ( 12.85%)	
   length=512, pos=256, alignment=96:         4.69	        1.12 ( 76.11%)	        2.33 ( 50.26%)	        4.09 ( 12.80%)	
  length=512, pos=256, alignment=112:         4.70	        1.12 ( 76.16%)	        2.33 ( 50.34%)	        4.09 ( 12.95%)	
  length=512, pos=256, alignment=112:         4.69	        1.12 ( 76.12%)	        2.33 ( 50.25%)	        4.09 ( 12.78%)	
        length=1, pos=0, alignment=0:         0.76	        0.40 ( 47.36%)	        0.40 ( 47.36%)	        0.48 ( 36.84%)	
        length=1, pos=0, alignment=0:         0.76	        0.41 ( 45.87%)	        0.40 ( 47.37%)	        0.48 ( 36.84%)	
        length=2, pos=1, alignment=0:         0.76	        0.40 ( 47.41%)	        0.40 ( 47.41%)	        0.48 ( 36.89%)	
        length=2, pos=1, alignment=0:         0.76	        0.40 ( 47.41%)	        0.40 ( 47.41%)	        0.48 ( 36.89%)	
        length=3, pos=2, alignment=0:         0.76	        0.40 ( 47.36%)	        0.40 ( 47.36%)	        0.48 ( 36.84%)	
        length=3, pos=2, alignment=0:         0.76	        0.40 ( 47.37%)	        0.40 ( 47.37%)	        0.48 ( 36.84%)	
        length=4, pos=3, alignment=0:         0.76	        0.40 ( 47.37%)	        0.40 ( 47.37%)	        0.48 ( 36.84%)	
        length=4, pos=3, alignment=0:         0.77	        0.40 ( 48.03%)	        0.40 ( 47.89%)	        0.48 ( 37.63%)	
        length=5, pos=4, alignment=0:         0.76	        0.40 ( 47.37%)	        0.40 ( 47.37%)	        0.48 ( 36.84%)	
        length=5, pos=4, alignment=0:         0.76	        0.40 ( 47.37%)	        0.40 ( 47.37%)	        0.48 ( 36.84%)	
        length=6, pos=5, alignment=0:         0.76	        0.40 ( 47.37%)	        0.40 ( 47.37%)	        0.48 ( 36.84%)	
        length=6, pos=5, alignment=0:         0.76	        0.40 ( 47.37%)	        0.40 ( 47.37%)	        0.48 ( 36.84%)	
        length=7, pos=6, alignment=0:         0.76	        0.40 ( 47.37%)	        0.40 ( 47.37%)	        0.49 ( 36.07%)	
        length=7, pos=6, alignment=0:         0.76	        0.40 ( 47.36%)	        0.40 ( 47.37%)	        0.48 ( 36.84%)	
        length=8, pos=7, alignment=0:         0.76	        0.40 ( 47.37%)	        0.40 ( 47.38%)	        0.48 ( 36.84%)	
        length=8, pos=7, alignment=0:         0.76	        0.40 ( 47.37%)	        0.40 ( 47.37%)	        0.48 ( 36.84%)	
        length=9, pos=8, alignment=0:         0.80	        0.40 ( 50.01%)	        0.40 ( 50.01%)	        0.56 ( 29.91%)	
        length=9, pos=8, alignment=0:         0.80	        0.40 ( 50.00%)	        0.40 ( 50.00%)	        0.60 ( 25.00%)	
       length=10, pos=9, alignment=0:         0.81	        0.40 ( 50.49%)	        0.40 ( 50.48%)	        0.57 ( 29.60%)	
       length=10, pos=9, alignment=0:         0.80	        0.40 ( 50.00%)	        0.40 ( 50.00%)	        0.60 ( 25.00%)	
      length=11, pos=10, alignment=0:         0.80	        0.40 ( 50.00%)	        0.40 ( 50.00%)	        0.60 ( 25.39%)	
      length=11, pos=10, alignment=0:         0.80	        0.40 ( 50.00%)	        0.40 ( 50.00%)	        0.60 ( 25.00%)	
